RestaurantID,RestaurantName,CountryCode,City,Address,Locality,LocalityVerbose,Longitude,Latitude,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,Datekey_Opening
3100446,45,1,Mangalore,"Ground Floor, Trinity Commercial Complex, Near Central Railway Station, Attavara Road, Attavar, Mangalore",Attavar,"Attavar, Mangalore",0,0,Cafe,Indian Rupees(Rs.),No,No,No,No,2,209,600,3.6,04_07_2011
1600219,12212,1,Nashik,"Shop 10, Ramrajya Building 7, Samarth Nagar, Next to Bhonsala Military school, College Road, Nashik",College Road,"College Road, Nashik",73.75,20.01,Fast Food,Indian Rupees(Rs.),No,No,No,No,2,80,400,3.5,05_12_2016
18490967, Let's Burrrp,1,Noida,"Bs-10, Sector 70, Near Sector 70, Noida",Sector 71,"Sector 71, Noida",0,0,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,1,0,400,1,11_03_2010
1400121,10 Downing Street,1,Indore,"Second Floor, Malhar Mega Mall, AB Road, Scheme 54, Vijay Nagar, Indore",Vijay Nagar,"Vijay Nagar, Indore",75.89,22.74,"North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,4,413,1500,4,20_02_2016
2600031,10 Downing Street,1,Bhopal,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal","DB City, Maharana Pratap Nagar","DB City, Maharana Pratap Nagar, Bhopal",77.43,23.23,"North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,3,257,1000,4,22_12_2015
7601106,10 To 10 In Delhi,215,Edinburgh,"67 Nicolson Street, Old Town, Edinburgh EH8 9BE",Old Town,"Old Town, Edinburgh",-3.18,55.95,"Indian, Cafe",Pounds(Σ),No,No,No,No,2,73,20,3.8,09_07_2017
2100784,11th Avenue Cafe Bistro,1,Guwahati,"Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati",Uzan Bazaar,"Uzan Bazaar, Guwahati",91.75,26.19,"Cafe, American, Italian, Continental",Indian Rupees(Rs.),No,No,No,No,2,377,400,4.1,05_03_2013
18430898,13 Cafe,1,New Delhi,"4/175, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.11,28.64,Cafe,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,20_07_2013
18233317,145 Kala Ghoda,1,Mumbai,"145, Kala Ghoda, Fort, Mumbai",Fort,"Fort, Mumbai",72.83,18.93,"Fast Food, Beverages, Desserts",Indian Rupees(Rs.),No,No,No,No,3,1606,1500,4.2,05_09_2012
18361752,17 Degree Food Service,1,New Delhi,"Shop 41/1, Hari Complex 304, Garhi, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",0,0,North Indian,Indian Rupees(Rs.),No,No,No,No,1,1,260,1,22_12_2018
4000031,17 Degrees,1,Patna,"6th Floor, P&M Mall, Patliputra Colony, Patna",Patliputra Colony,"Patliputra Colony, Patna",85.11,25.63,"North Indian, Chinese, Continental, Italian",Indian Rupees(Rs.),No,No,No,No,3,151,1200,3.5,18_10_2015
6506206,18 Degrees Resto Lounge,1,Pune,"8th & 9th Floor, Spot 18 Mall, Pimple Saudagar, Pune","Spot 18 Mall, Pimple Saudagar","Spot 18 Mall, Pimple Saudagar, Pune",73.79,18.59,"North Indian, Mediterranean, Chinese",Indian Rupees(Rs.),Yes,Yes,No,No,4,1566,2100,3.6,05_03_2015
18408054,19 Flavours Biryani,1,Gurgaon,"Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road","Global Foyer Mall, Golf Course Road, Gurgaon",77.1,28.46,"Mughlai, Hyderabadi",Indian Rupees(Rs.),No,Yes,No,No,2,84,700,4.1,16_11_2017
2724,1911 - The Imperial,1,New Delhi,"The Imperial, Janpath, New Delhi","The Imperial, Janpath","The Imperial, Janpath, New Delhi",77.22,28.63,"North Indian, Chinese, South Indian, Italian",Indian Rupees(Rs.),Yes,No,No,No,4,272,6000,3.9,22_10_2012
2726,1911 Bar - The Imperial,1,New Delhi,"The Imperial, Janpath, New Delhi","The Imperial, Janpath","The Imperial, Janpath, New Delhi",77.22,28.63,"Finger Food, European",Indian Rupees(Rs.),Yes,No,No,No,4,10,2000,3.2,08_02_2013
16608059,1918 Bistro & Grill,14,Tanunda,"94 Murray St, Tanunda, SA",Tanunda,"Tanunda, Tanunda",138.97,-34.52,"Modern Australian, Australian",Dollar($),No,No,No,No,3,339,30,4.4,03_07_2015
18355037,1990's,1,New Delhi,"KG-1/423, Ground Floor, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",77.08,28.64,"North Indian, Mughlai",Indian Rupees(Rs.),No,No,No,No,1,15,250,3.3,25_04_2016
311030,1UP,1,New Delhi,"13, Alipur Road, Exchange Store Building, Civil Lines, New Delhi",Civil Lines,"Civil Lines, New Delhi",77.23,28.68,"Cafe, Italian, Continental",Indian Rupees(Rs.),Yes,No,No,No,3,282,1200,3.5,10_08_2014
312772,2 Bandits Lounge & Bar,1,New Delhi,"16, 1st & 2nd Floor, Opposite Sri Venkateshwara College, Satyaniketan, New Delhi",Satyaniketan,"Satyaniketan, New Delhi",77.17,28.59,"Italian, Continental, Mexican, North Indian",Indian Rupees(Rs.),Yes,No,No,No,3,1316,1500,3.9,17_05_2013
313410,2 Bros Kitchen,1,Noida,"Plot 14, C-98, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.36,28.57,"North Indian, Chinese, Fast Food",Indian Rupees(Rs.),No,Yes,No,No,2,364,600,3.2,10_04_2012
17374921,2 Dog,216,Gainesville,"317 Spring St SE, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.82,34.3,"American, European, Sandwich",Dollar($),No,No,No,No,2,350,25,4.2,13_07_2018
306505,2 Nice 2 Slice,1,New Delhi,"262, Deshbandhu Apartments, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.26,28.54,"Bakery, Desserts",Indian Rupees(Rs.),No,No,No,No,3,17,1750,3.2,15_08_2010
4398,21 Gun Salute,1,Gurgaon,"SCO 35-36, 1st Foor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.06,28.47,"North Indian, Mughlai, Asian, Continental",Indian Rupees(Rs.),Yes,Yes,No,No,4,1365,2000,3.9,28_11_2014
5239,221 B Baker Street,1,Noida,"21, Jalvayu Vihar Market, Sector 25, Noida",Sector 25,"Sector 25, Noida",77.34,28.58,Bakery,Indian Rupees(Rs.),No,Yes,No,No,1,102,350,3.4,22_06_2016
